c_n_sourceID,c_type,c_n_countries_norm,b_n_jurisdiction_description_norm,count
Bahamas Leaks,individual,Angola,Bahamas,1
Panama Papers,individual,Lithuania,Seychelles,1
Panama Papers,individual,Lithuania,Samoa,1
Panama Papers,individual,Liechtenstein,British Anguilla,1
Panama Papers,individual,Libya,Panama,1
Panama Papers,individual,Laos,Samoa,1
Panama Papers,individual,Laos,Panama,1
Panama Papers,individual,Lithuania,United Kingdom,1
Panama Papers,individual,Laos,British Anguilla,1
Panama Papers,individual,Laos,Bahamas,1
Panama Papers,individual,Kyrgyzstan,Bahamas,1
Panama Papers,individual,Kazakhstan,Samoa,1
Panama Papers,individual,Kazakhstan,Hong Kong,1
Panama Papers,individual,Kazakhstan,British Anguilla,1
Panama Papers,individual,Kazakhstan,Bahamas,1
Panama Papers,individual,Laos,Belize,1
Panama Papers,individual,Jordan,Samoa,1
Panama Papers,individual,Luxembourg,Belize,1
Panama Papers,individual,Luxembourg,United Kingdom,1
Panama Papers,individual,Montenegro,Samoa,1
Panama Papers,individual,Montenegro,Panama,1
Panama Papers,individual,Mongolia,Seychelles,1
Panama Papers,individual,Mongolia,British Anguilla,1
Panama Papers,individual,Monaco,New Zealand,1
Panama Papers,individual,Monaco,Belize,1
Panama Papers,individual,Luxembourg,Cyprus,1
Panama Papers,individual,Maldives,British Anguilla,1
Panama Papers,individual,Malaysia,Wyoming,1
Panama Papers,individual,Macedonia,Seychelles,1
Panama Papers,individual,Macedonia,British Virgin Islands,1
Panama Papers,individual,Macao,British Anguilla,1
Panama Papers,individual,Macao,Bahamas,1
Panama Papers,individual,Luxembourg,Wyoming,1
Panama Papers,individual,Maldives,Bahamas,1
Panama Papers,individual,Montenegro,Seychelles,1
Panama Papers,individual,Jordan,British Anguilla,1
Panama Papers,individual,Japan,Belize,1
Panama Papers,individual,Hungary,Cyprus,1
Panama Papers,individual,Hong Kong,Belize,1
Panama Papers,individual,Haiti,Niue,1
Panama Papers,individual,Haiti,Nevada,1
Panama Papers,individual,Haiti,British Anguilla,1
Panama Papers,individual,Guinea-Bissau,British Virgin Islands,1
Panama Papers,individual,Hungary,Hong Kong,1
Panama Papers,individual,Guinea,Seychelles,1
Panama Papers,individual,Guatemala,Nevada,1
