Article_ID,PermID,RIC,Matched_Word,Relevance,Name,Name_EN
urnnewsmlreuters.com20180105nL4S1P02LO2,4295864187,600751.SS,天海投资,0.2,天海投资,"Tianjin Tianhai Investment Co.,Ltd."
urnnewsmlreuters.com20180105nL4S1P02LO2,4295891393,2605.TW,新兴,0.2,新兴,SINCERE NAVIGATION CORPORATION
urnnewsmlreuters.com20180115nL3S1PA19G1,4295865480,000038.SZ,大通,0.2,深大通,"Shenzhen Capstone Industrial Co.,Ltd."
urnnewsmlreuters.com20180115nL3S1PA1941,4295864033,000982.SZ,中银,0.2,中绒,"Ningxia Zhongyin Cashmere Co.,Ltd."
urnnewsmlreuters.com20180115nL3S1PA1941,4295865561,601111.SS,中国国航,0.2,中国国航,Air China Limited
urnnewsmlreuters.com20180115nL3S1PA1941,4295871002,0291.HK,华润啤酒,0.2,华润啤酒,China Resources Beer (Holdings) Company Limited
urnnewsmlreuters.com20180115nL3S1PA1941,4295871064,1193.HK,华润燃气,0.2,华润燃气,CHINA RESOURCES GAS GROUP LIMITED
urnnewsmlreuters.com20180115nL3S1PA1941,4295871256,0152.HK,深圳国际,0.8,深圳国际,SHENZHEN INTERNATIONAL HOLDINGS LIMITED
urnnewsmlreuters.com20180115nL3S1PA1941,5000032093,601668.SS,中国建筑,0.6,中国建筑,China State Construction Engineering Corporation Limited
urnnewsmlreuters.com20180115nL3S1PA1941,5000064299,601211.SS,国泰君安,0.2,国泰君安,"Guotai Junan Securities Co.,Ltd."
urnnewsmlreuters.com20180115nL3S1PA1941,5000086955,3908.HK,中金,0.4,中金公司,China International Capital Corporation Limited
urnnewsmlreuters.com20180115nL3S1PA1941,5000086955,3908.HK,中金公司,0.2,中金公司,China International Capital Corporation Limited
urnnewsmlreuters.com20180115nNRA59ge511,4295863770,600432.SS,吉恩,0.2,吉恩,"Ji Lin Ji En Nickel Industry Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59gk231,4295863654,0817.HK,中国金茂,0.2,中国金茂,China Jinmao Holdings Group Ltd.
urnnewsmlreuters.com20180115nL3S1PA03Y1,4295863654,0817.HK,中国金茂,0.8,中国金茂,China Jinmao Holdings Group Ltd.
urnnewsmlreuters.com20180115nNRA59ggro1,4295863648,600690.SS,青岛海尔,0.2,青岛海尔,"QINGDAO HAIER CO.,LTD."
urnnewsmlreuters.com20180115nNRA59ggro1,4295863798,000002.SZ,万科Ａ,0.2,万  科,"CHINA VANKE CO.,LTD."
urnnewsmlreuters.com20180115nNRA59ggro1,4295863798,000002.SZ,万科,0.2,万  科,"CHINA VANKE CO.,LTD."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864072,600519.SS,茅台,0.2,贵州茅台,"Kweichow Moutai Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864072,600519.SS,贵州茅台,0.2,贵州茅台,"Kweichow Moutai Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864263,600887.SS,伊利股份,0.2,伊利股份,"Inner Mongolia Yili Industrial Group Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864263,600887.SS,伊利,0.2,伊利股份,"Inner Mongolia Yili Industrial Group Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864310,600585.SS,海螺,0.2,海螺水泥,Anhui Conch Cement Company Limited
urnnewsmlreuters.com20180115nNRA59ggro1,4295864310,600585.SS,海螺水泥,0.2,海螺水泥,Anhui Conch Cement Company Limited
urnnewsmlreuters.com20180115nNRA59ggro1,4295864374,600048.SS,保利地产,0.2,保利地产,"POLY REAL ESTATE GROUP CO.,LTD"
urnnewsmlreuters.com20180115nNRA59ggro1,4295864558,000725.SZ,京东方,0.2,京东方,"BOE Technology Group Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864640,603993.SS,洛阳钼业,0.2,洛阳钼业,"China Molybdenum Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864661,002008.SZ,大族,0.2,大族激光,"Han's Laser Technology Industry Group Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864661,002008.SZ,大族激光,0.2,大族激光,"Han's Laser Technology Industry Group Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295864974,600019.SS,宝钢股份,0.2,宝钢股份,"Baoshan Iron & Steel Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4295865511,000651.SZ,格力电器,0.2,格力电器,"Gree Electric Appliances, Inc. of Zhuhai"
urnnewsmlreuters.com20180115nNRA59ggro1,4295865616,000858.SZ,五粮液,0.2,五 粮 液,"Wuliangye Yibin Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,4298105400,002415.SZ,海康威视,0.2,海康威视,"HANGZHOU HIKVISION DIGITAL TECHNOLOGY CO.,LTD"
urnnewsmlreuters.com20180115nNRA59ggro1,5000006171,000333.SZ,美的,0.2,美的集团,"Midea Group Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,5000006171,000333.SZ,美的集团,0.2,美的集团,"Midea Group Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,5000018009,002027.SZ,分众传媒,0.2,分众传媒,"Focus Media Information Technology Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,5000032993,002583.SZ,海能达,0.2,海能达,Hytera Communications Corporation Limited
urnnewsmlreuters.com20180115nNRA59ggro1,5000462739,002304.SZ,洋河,0.2,洋河股份,"Jiangsu Yanghe Brewery Joint-stock Co.,Ltd."
urnnewsmlreuters.com20180115nNRA59ggro1,5000462739,002304.SZ,洋河股份,0.2,洋河股份,"Jiangsu Yanghe Brewery Joint-stock Co.,Ltd."
urnnewsmlreuters.com20180115nL3S1PA05M1,4295864187,600751.SS,天海投资,0.8,天海投资,"Tianjin Tianhai Investment Co.,Ltd."
urnnewsmlreuters.com20180115nL3S1PA05M1,4295865078,0700.HK,腾讯,0.2,腾讯控股,Tencent Holdings Limited
urnnewsmlreuters.com20180115nL3S1PA05M1,4295865400,3888.HK,金山,0.2,金山软件,KINGSOFT CORPORATION LIMITED
urnnewsmlreuters.com20180114nCIF2rdGLY1,4295864276,600029.SS,南方航空,0.2,南方航空,China Southern Airlines Company Limited
urnnewsmlreuters.com20180114nCIF2rdGLY1,4295871412,0992.HK,联想集团,0.2,联想集团,LENOVO GROUP LIMITED
